Pos,Title,Director,Year,Country,Length,Genre,Colour
749,Dirty Harry,"Siegel, Don",1971,USA,102,Crime-Action,Col
750,Grave of the Fireflies,"Takahata, Isao",1988,Japan,93,Animated-War-Drama,Col
751,Ferris Bueller's Day Off,"Hughes, John",1986,USA,103,Comedy,Col
752,Vive L'Amour,Tsai Ming-liang,1994,Taiwan,118,Drama,Col
753,"Prophet, A","Audiard, Jacques",2009,France-Italy,155,Drama-Crime,Col
754,"Killer, The","Woo, John",1989,Hong Kong,110,Thriller-Crime-Action,Col
755,"Lord of the Rings: The Fellowship of the Ring, The","Jackson, Peter",2001,New Zealand-USA,178,Fantasy-Adventure,Col
756,Abraham's Valley,"Oliveira, Manoel de",1993,Portugal-France-Switzerland,187,Drama,Col
757,Outskirts,"Barnet, Boris",1933,USSR,98,War-Drama,BW
758,"Firemen's Ball, The","Forman, Milos",1967,Czechoslovakia,73,Comedy,Col
759,"Hawks and the Sparrows, The","Pasolini, Pier Paolo",1966,Italy,91,Comedy-Drama,BW
760,Edvard Munch [TV],"Watkins, Peter",1974,Sweden-Norway,210,Drama-Biography,Col
761,"Chronicle of Anna Magdalena Bach, The","Straub, Jean-Marie",1968,West Germany-Italy,94,Drama-History-Musical,BW
762,"Short Film About Killing, A","Kieslowski, Krzysztof",1987,Poland,85,Drama-Crime,Col
763,"Navigator, The","Keaton, Buster/Donald Crisp",1924,USA,59,Comedy-Adventure,BW
764,D'Est,"Akerman, Chantal",1993,Belgium-France-Portugal,107,Documentary,Col
765,Fort Apache,"Ford, John",1948,USA,127,Western-War,BW
766,Moulin Rouge!,"Luhrmann, Baz",2001,Australia-USA,126,Drama-Musical-Romance,Col
767,Portrait of Jason,"Clarke, Shirley",1967,USA,105,Documentary-Biography,BW
768,Claire's Knee,"Rohmer, Eric",1970,France,105,Romance-Drama-Comedy,Col
769,All Quiet on the Western Front,"Milestone, Lewis",1930,USA,133,War-Drama,BW
770,Red Sorghum,Zhang Yimou,1987,China,91,Drama,Col
771,Sauve qui peut (la vie),"Godard, Jean-Luc",1980,France-Switzerland,87,Drama,Col
772,"Long Day Closes, The","Davies, Terence",1992,UK,83,Drama,Col
773,Saturday Night and Sunday Morning,"Reisz, Karel",1960,UK,89,Drama-Romance,BW
774,"Tin Drum, The","Schlöndorff, Volker",1979,West Germany-France-Poland-Yugoslavia,142,War-Drama,Col
775,"Thief of Bagdad, The","Powell, Michael/Ludwig Berger/Tim Whelan",1940,UK,106,Fantasy-Family-Adventure,Col
776,"Grido, Il","Antonioni, Michelangelo",1957,Italy,111,Drama,BW
777,Akira,"Otomo, Katsuhiro",1988,Japan,124,Animated-Science Fiction-Action,Col
778,Crumb,"Zwigoff, Terry",1994,USA,119,Documentary-Biography,Col
779,Z,"Costa-Gavras, Constantin",1969,France,127,Political-Thriller-History,Col
780,Sideways,"Payne, Alexander",2004,USA,123,Drama-Comedy,Col
781,"Posto, Il","Olmi, Ermanno",1961,Italy,93,Drama,BW
782,Ace in the Hole,"Wilder, Billy",1951,USA,112,Drama,BW
783,Pickup on South Street,"Fuller, Samuel",1953,USA,80,Spy-Crime,BW
784,Seven Women,"Ford, John",1966,USA,87,History-Drama,Col
785,Hunger,"McQueen, Steve",2008,UK-Ireland,96,Drama-History,Col
786,"Sang des bêtes, Le","Franju, Georges",1949,France,20,Short-Documentary-Drama,BW
787,Wild at Heart,"Lynch, David",1990,USA,127,Romance-Drama-Crime,Col
788,Million Dollar Baby,"Eastwood, Clint",2004,USA,137,Drama,Col
789,We All Loved Each Other So Much,"Scola, Ettore",1974,Italy,124,Comedy,Col
790,Léon,"Besson, Luc",1994,France,119,Thriller-Crime,Col
791,"American in Paris, An","Minnelli, Vincente",1951,USA,115,Musical-Dance,Col
792,Iracema - Uma Transa Amazônica,"Bodanzky, Jorge & Orlando Senna",1975,Brazil-West Germany-France,90,Drama,Col
793,Dodes'ka-den,"Kurosawa, Akira",1970,Japan,140,Fantasy-Drama,Col
794,Othello,"Welles, Orson",1951,Italy-France-Morocco-USA,90,Drama,BW
795,"Last Detail, The","Ashby, Hal",1973,USA,105,Drama,Col
796,News from Home,"Akerman, Chantal",1976,France-Belgium-West Germany,85,Drama,Col
797,"Bonheur, Le","Varda, Agnès",1965,France,79,Drama,Col
798,"Princess Bride, The","Reiner, Rob",1987,USA,98,Comedy-Family-Adventure,Col
799,Ossessione,"Visconti, Luchino",1943,Italy,140,Drama,BW
800,"Red Balloon, The","Lamorisse, Albert",1956,France,34,Fantasy-Family-Short,Col
801,Starship Troopers,"Verhoeven, Paul",1997,USA,129,Science Fiction-Action-Adventure-War,Col
802,Street Angel,Yuan Muzhi,1937,China,91,Drama-Comedy-Musical,BW
803,Ed Wood,"Burton, Tim",1994,USA,124,Drama-Comedy-Biography,BW
804,"Adventures of Robin Hood, The","Curtiz, Michael/William Keighley",1938,USA,102,Adventure,Col
805,Cool Hand Luke,"Rosenberg, Stuart",1967,USA,126,Prison-Drama,Col
806,"New York, New York","Scorsese, Martin",1977,USA,164,Musical,Col
807,"Blues Brothers, The","Landis, John",1980,USA,130,Action-Comedy-Musical,Col
808,"Sweet Hereafter, The","Egoyan, Atom",1997,Canada,112,Drama,Col
809,Paper Moon,"Bogdanovich, Peter",1973,USA,102,Drama-Comedy-Crime,BW
810,Olympia,"Riefenstahl, Leni",1938,Germany,201,Documentary-Sport,BW
811,American Beauty,"Mendes, Sam",1999,USA,121,Drama-Comedy,Col
812,Morocco,"von Sternberg, Josef",1930,USA,92,War-Romance-Drama,BW
813,Lessons of Darkness,"Herzog, Werner",1992,France-UK-Germany,50,Documentary-Science Fiction-War,Col
814,Inglourious Basterds,"Tarantino, Quentin",2009,USA-Germany,153,Action-Drama-War,Col
815,Blood Simple,"Coen, Joel & Ethan Coen",1984,USA,97,Thriller-Drama-Crime,Col
816,Spione,"Lang, Fritz",1928,Germany,90,Thriller-Spy,BW
817,Deep End,"Skolimowski, Jerzy",1970,UK-West Germany,88,Drama-Comedy-Romance,Col
818,"Maîtres fous, Les","Rouch, Jean",1955,France,36,Documentary-Short,Col
819,"Woman of Paris, A","Chaplin, Charles",1923,USA,78,Drama-Romance,BW
820,"Trou, Le","Becker, Jacques",1960,France-Italy,140,Drama-Crime,BW
821,Flaming Creatures,"Smith, Jack",1963,USA,43,Drama,BW
822,Two English Girls,"Truffaut, François",1971,France,108,Drama,Col
823,"Intruder, The","Denis, Claire",2004,France-South Korea,130,Drama,Col
824,Blue,"Jarman, Derek",1993,UK,76,Documentary-Drama,Col
825,"Ladykillers, The","Mackendrick, Alexander",1955,UK,90,Crime-Comedy,Col
826,Assault on Precinct 13,"Carpenter, John",1976,USA,90,Action,Col
827,Kaagaz Ke Phool,"Dutt, Guru",1959,India,148,Romance-Drama,BW
828,Port of Shadows,"Carné, Marcel",1938,France,91,Drama,BW
829,"Holy Mountain, The","Jodorowsky, Alejandro",1973,Mexico-USA,114,Adventure-Drama-Fantasy,Col
830,Vengeance is Mine,"Imamura, Shohei",1979,Japan,129,Thriller-Crime-Drama,Col
831,Mary Poppins,"Stevenson, Robert",1964,USA,139,Musical-Family-Fantasy,Col
832,Excalibur,"Boorman, John",1981,UK,140,Fantasy-Adventure-Action,Col
833,Roman Holiday,"Wyler, William",1953,USA,119,Romance-Comedy-Drama,BW
834,Saturday Night Fever,"Badham, John",1977,USA,119,Drama,Col
835,Amores perros,"González Iñárritu, Alejandro",2000,Mexico,153,Drama,Col
836,Hitler: A Film from Germany,"Syberberg, Hans-Jürgen",1977,West Germany-France-UK,442,Biography-Drama-History,Col
837,Burnt by the Sun,"Mikhalkov, Nikita",1994,Russia-France,152,History-Drama,Col
838,Who's Afraid of Virginia Woolf?,"Nichols, Mike",1966,USA,129,Drama,BW
839,"Idiots, The","von Trier, Lars",1998,Denmark-Spain-Sweden-France-Netherlands-Italy,117,Drama-Comedy,Col
840,"Producers, The","Brooks, Mel",1968,USA,88,Comedy,Col
841,"Last Bolshevik, The","Marker, Chris",1993,France-Finland,120,Documentary-Biography-History,Col
842,Diary,"Perlov, David",1983,Israel,330,Documentary,Col-BW
843,Au revoir les enfants,"Malle, Louis",1987,France,103,War-Drama,Col
844,"Lusty Men, The","Ray, Nicholas",1952,USA,113,Western-Sport-Drama,BW
845,Sawdust and Tinsel,"Bergman, Ingmar",1953,Sweden,92,Drama,BW
846,"Miracle of Morgan's Creek, The","Sturges, Preston",1944,USA,99,Comedy,BW
847,Forbidden Games,"Clément, René",1952,France,87,War-Drama,BW
848,Street of Shame,"Mizoguchi, Kenji",1956,Japan,87,Drama,BW
849,Veronika Voss,"Fassbinder, Rainer Werner",1982,West Germany,105,Drama,BW
850,Millennium Mambo,Hou Hsiao-hsien,2001,Taiwan-France,119,Drama-Romance,Col
851,"Criminal Life of Archibaldo de la Cruz, The","Buñuel, Luis",1955,Mexico,91,Drama-Crime,BW
852,"Day the Earth Stood Still, The","Wise, Robert",1951,USA,92,Science Fiction,BW
853,"Faster, Pussycat! Kill! Kill!","Meyer, Russ",1965,USA,83,Drama-Comedy-Action,BW
854,"Diaries, Notes and Sketches","Mekas, Jonas",1969,USA,177,Documentary,Col
855,Kwaidan,"Kobayashi, Masaki",1964,Japan,164,Horror-Fantasy,Col
856,Cría cuervos,"Saura, Carlos",1976,Spain,110,Drama-Crime-Mystery,Col
857,"Million, Le","Clair, René",1931,France,85,Comedy-Musical,BW
858,Women on the Verge of a Nervous Breakdown,"Almodóvar, Pedro",1988,Spain,88,Drama-Comedy,Col
859,Fata Morgana,"Herzog, Werner",1971,West Germany,78,Experimental,Col
860,"Right Stuff, The","Kaufman, Philip",1983,USA,193,Drama-Biography,Col
861,Taipei Story,"Yang, Edward",1985,Taiwan,119,Drama,Col
862,Princess Mononoke,"Miyazaki, Hayao",1997,Japan,134,Animated-Adventure-Fantasy,Col
863,Mon oncle d'Amérique,"Resnais, Alain",1980,France,123,Drama-Comedy,Col
864,Anatomy of a Murder,"Preminger, Otto",1959,USA,160,Drama,BW
865,Time of the Gypsies,"Kusturica, Emir",1989,Yugoslavia,142,Drama,Col
866,Caro diario,"Moretti, Nanni",1994,Italy-France,100,Comedy,Col
867,Point Break,"Bigelow, Kathryn",1991,USA-Japan,122,Thriller-Action-Crime,Col
868,"Breakfast Club, The","Hughes, John",1985,USA,97,Drama-Comedy,Col
869,Black Girl,"Sembene, Ousmane",1966,Senegal-France,65,Drama,BW
870,2046,Wong Kar-wai,2004,Hong Kong-China-France-Italy-Germany,129,Science Fiction-Drama-Romance,Col-BW
871,Central Station,"Salles, Walter",1998,Brazil-France-Spain-Japan,110,Drama,Col
872,"Age of the Earth, The","Rocha, Glauber",1980,Brazil,158,Political-Drama-Religious,Col
873,She Wore a Yellow Ribbon,"Ford, John",1949,USA,103,Western-War,Col
874,"Cook, the Thief, His Wife & Her Lover, The","Greenaway, Peter",1989,UK-France,120,Drama,Col
875,It's a Gift,"McLeod, Norman Z.",1934,USA,73,Comedy,BW
876,"Naked Island, The","Shindo, Kaneto",1960,Japan,94,Drama,BW
877,Berlin: Symphony of a Great City,"Ruttmann, Walter",1927,Germany,65,Documentary,BW
878,Duel in the Sun,"Vidor, King",1946,USA,130,Western,Col
879,Dust in the Wind,Hou Hsiao-hsien,1987,Taiwan,109,Romance-Drama,Col
880,Fires Were Started,"Jennings, Humphrey",1943,UK,80,Documentary-Drama,BW
881,Ten,"Kiarostami, Abbas",2002,France-Iran,92,Drama,Col
882,Mother India,"Khan, Mehboob",1957,India,172,Drama-Musical-Family,Col
883,In Praise of Love,"Godard, Jean-Luc",2001,France,97,Drama,Col-BW
884,"Phantom Carriage, The","Sjöström, Victor",1921,Sweden,93,Fantasy-Drama-Horror,BW
885,"Bête humaine, La","Renoir, Jean",1938,France,99,Drama,BW
886,Man of the West,"Mann, Anthony",1958,USA,100,Western,Col
887,As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,"Mekas, Jonas",2000,USA,288,Documentary-Biography,Col
888,Good Morning,"Ozu, Yasujiro",1959,Japan,94,Comedy,Col
889,Numéro deux,"Godard, Jean-Luc",1975,France,88,Drama,Col
890,My Little Loves,"Eustache, Jean",1974,France,123,Drama,Col
891,"Bridges of Madison County, The","Eastwood, Clint",1995,USA,135,Romance-Drama,Col
892,Strangers When We Meet,"Quine, Richard",1960,USA,117,Drama-Romance,Col
893,Branded to Kill,"Suzuki, Seijun",1967,Japan,91,Crime-Action-Drama,BW
894,Macunaima,"de Andrade, Joaquim Pedro",1969,Brazil,110,Fantasy-Comedy,Col
895,"Last Emperor, The","Bertolucci, Bernardo",1987,China-Italy-UK-France,160,History-Biography,Col
896,Gregory's Girl,"Forsyth, Bill",1980,UK,91,Romance-Comedy,Col
897,Twin Peaks: Fire Walk with Me,"Lynch, David",1992,USA,135,Drama-Horror-Mystery,Col
898,"Match Factory Girl, The","Kaurismäki, Aki",1990,Finland-Sweden,68,Drama-Comedy,Col
899,Pink Flamingos,"Waters, John",1972,USA,92,Comedy-Crime,Col
900,"Lord of the Rings: The Return of the King, The","Jackson, Peter",2003,New Zealand-USA,201,Fantasy-Adventure-Action,Col
901,"Last Temptation of Christ, The","Scorsese, Martin",1988,USA-Canada,164,Religious-Drama,Col
902,Sicilia!,"Straub, Jean-Marie & Danièle Huillet",1999,Italy-France-Germany,66,Drama,BW
903,Knife in the Water,"Polanski, Roman",1962,Poland,94,Drama,BW
904,Duel,"Spielberg, Steven",1971,USA,90,Thriller-Action,Col
905,"Chienne, La","Renoir, Jean",1931,France,95,Drama,BW
906,Sholay,"Sippy, Ramesh",1975,India,162,Action-Drama-Musical,Col
907,Bad Lieutenant,"Ferrara, Abel",1992,USA,98,Drama,Col
908,Forbidden Planet,"Wilcox, Fred M.",1956,USA,98,Science Fiction,Col
909,American Graffiti,"Lucas, George",1973,USA,110,Drama-Comedy,Col
910,Hellzapoppin',"Potter, H.C.",1941,USA,84,Comedy,BW
911,M*A*S*H,"Altman, Robert",1970,USA,116,War-Comedy,Col
912,Simon of the Desert,"Buñuel, Luis",1965,Mexico,43,Short-Drama-Comedy,BW
913,Saraband,"Bergman, Ingmar",2003,Sweden-Denmark-Norway-Italy-Finland-Germany-Austria,120,Drama,Col
914,"Usual Suspects, The","Singer, Bryan",1995,USA,105,Thriller-Mystery-Crime,Col
915,42nd Street,"Bacon, Lloyd",1933,USA,89,Musical-Dance-Comedy,BW
916,"Moi, un Noir","Rouch, Jean",1958,France,70,Drama,Col
917,"Amour fou, L'","Rivette, Jacques",1968,France,252,Drama,BW
918,"Private Life of Sherlock Holmes, The","Wilder, Billy",1970,USA,125,Mystery-Comedy-Drama,Col
919,Dracula,"Fisher, Terence",1958,UK,82,Horror,Col
920,Seventh Heaven,"Borzage, Frank",1927,USA,119,Romance-Drama-War,BW
921,Fellini's Casanova,"Fellini, Federico",1976,Italy,158,Drama-Biography,Col
922,"Misfits, The","Huston, John",1961,USA,124,Western-Romance-Drama,BW
923,Elevator to the Gallows,"Malle, Louis",1958,France,92,Thriller-Crime-Drama,BW
924,"Sun Shines Bright, The","Ford, John",1953,USA,90,Drama-Comedy,BW
925,"Return, The","Zvyagintsev, Andrey",2003,Russia,110,Drama,Col
926,Kill Bill Vol. 1,"Tarantino, Quentin",2003,USA,111,Crime-Action,Col-BW
927,"Outlaw Josey Wales, The","Eastwood, Clint",1976,USA,135,Western-Drama,Col
928,"Loneliness of the Long Distance Runner, The","Richardson, Tony",1962,UK,103,Drama-Sport,BW
929,Summer with Monika,"Bergman, Ingmar",1953,Sweden,96,Drama-Romance,BW
930,Stand by Me,"Reiner, Rob",1986,USA,87,Comedy,Col
931,Arabian Nights,"Pasolini, Pier Paolo",1974,Italy-France,130,Fantasy-Adventure-Drama,Col
932,"Boot, Das","Petersen, Wolfgang",1981,West Germany,149,Action-Adventure-Drama,Col
933,Enter the Dragon,"Clouse, Robert",1973,USA-Hong Kong,97,Thriller-Crime-Action,Col
934,Chikamatsu monogatari,"Mizoguchi, Kenji",1954,Japan,100,Drama-Romance,BW
935,"Jour se lève, Le","Carné, Marcel",1939,France,93,Thriller-Crime-Drama,BW
936,Dog Star Man,"Brakhage, Stan",1964,USA,75,Short-Drama,Col
937,"America, America","Kazan, Elia",1963,USA,168,Drama,BW
938,Topsy-Turvy,"Leigh, Mike",1999,UK-USA,160,Musical-Drama-Comedy,Col
939,"Incredible Shrinking Man, The","Arnold, Jack",1957,USA,81,Science Fiction,BW
940,Hôtel Terminus,"Ophüls, Marcel",1988,USA,267,Documentary-History-War,Col
941,Carlito's Way,"De Palma, Brian",1993,USA,144,Drama-Crime,Col
942,Odd Man Out,"Reed, Carol",1947,UK,115,Drama-Crime-Thriller,BW
943,Holiday,"Cukor, George",1938,USA,93,Comedy,BW
944,"Nuit du carrefour, La","Renoir, Jean",1932,France,70,Crime-Drama-Mystery,BW
945,"Nightmare Before Christmas, The","Selick, Henry",1993,USA,76,Family-Fantasy-Animated,Col
946,They Were Expendable,"Ford, John",1945,USA,135,War-Drama,BW
947,They Live,"Carpenter, John",1988,USA,93,Science Fiction-Thriller-Action,Col
948,O Lucky Man!,"Anderson, Lindsay",1973,UK,173,Fantasy-Drama-Comedy,Col
949,Juliet of the Spirits,"Fellini, Federico",1965,Italy,148,Fantasy-Drama,Col
950,Gilda,"Vidor, Charles",1946,USA,110,Thriller-Drama,BW
951,Ride the High Country,"Peckinpah, Sam",1962,USA,94,Western,Col
952,Deep Red,"Argento, Dario",1975,Italy,98,Thriller-Horror-Mystery,Col
953,Design for Living,"Lubitsch, Ernst",1933,USA,90,Romance-Comedy,BW
954,"Ballad of Narayama, The","Imamura, Shohei",1983,Japan,130,Drama,Col
955,"Better Tomorrow, A","Woo, John",1986,Hong Kong,95,Thriller-Crime-Action,Col
956,"Ten Commandments, The","DeMille, Cecil B.",1956,USA,220,Religious-Drama,Col
957,Mildred Pierce,"Curtiz, Michael",1945,USA,109,Drama,BW
958,Broadcast News,"Brooks, James L.",1987,USA,133,Romance-Comedy-Drama,Col
959,"End of Summer, The","Ozu, Yasujiro",1961,Japan,103,Drama,Col
960,"Enfance nue, L'","Pialat, Maurice",1968,France,80,Drama,Col
961,Red Beard,"Kurosawa, Akira",1965,Japan,185,Drama,BW
962,Touchez pas au Grisbi,"Becker, Jacques",1954,France,94,Thriller-Crime-Drama,BW
963,"Hart of London, The","Chambers, Jack",1970,Canada,80,Avant-Garde,Col-BW
964,Carnival of Souls,"Harvey, Herk",1962,USA,80,Horror,BW
965,Rope,"Hitchcock, Alfred",1948,USA,80,Thriller-Crime-Drama,Col
966,Floating Weeds,"Ozu, Yasujiro",1959,Japan,119,Drama,Col
967,Babe,"Noonan, Chris",1995,Australia,94,Fantasy-Comedy-Family,Col
968,3 Women,"Altman, Robert",1977,USA,125,Drama,Col
969,"Boucher, Le","Chabrol, Claude",1970,France-Italy,94,Thriller-Drama,Col
970,Anatahan,"von Sternberg, Josef",1953,Japan,92,War-Drama,BW
971,To Live,Zhang Yimou,1994,China-Hong Kong,145,Drama,Col
972,Pépé le Moko,"Duvivier, Julien",1937,France,94,Romance-Drama-Crime,BW
973,Cul-de-sac,"Polanski, Roman",1966,UK,111,Thriller-Drama,BW
974,Get Carter,"Hodges, Mike",1971,UK,112,Crime,Col
975,Ludwig,"Visconti, Luchino",1973,Italy-France-West Germany,235,Drama-Biography-History,Col
976,Black Orpheus,"Camus, Marcel",1959,Brazil-France,103,Drama-Romance,Col
977,"Go-Between, The","Losey, Joseph",1971,UK,116,Romance-Drama,Col
978,Before Sunrise,"Linklater, Richard",1995,USA,101,Romance-Drama,Col
979,Gentlemen Prefer Blondes,"Hawks, Howard",1953,USA,91,Romance-Musical-Comedy,Col
980,Reds,"Beatty, Warren",1981,USA,200,History-Drama-Biography,Col
981,"Humanité, L'","Dumont, Bruno",1999,France,141,Drama-Mystery,Col
982,"Adventures of Prince Achmed, The","Reiniger, Lotte",1926,Germany,65,Animated-Adventure-Fantasy,BW
983,"Spring, Summer, Autumn, Winter… and Spring",Kim Ki-duk,2003,South Korea-Germany,103,Drama,Col
984,"Thing from Another World, The","Nyby, Christian/Howard Hawks",1951,USA,87,Science Fiction-Horror,BW
985,Exotica,"Egoyan, Atom",1994,Canada,104,Drama,Col
986,On the Town,"Donen, Stanley/Gene Kelly",1949,USA,98,Musical-Dance,Col
987,Bad Timing,"Roeg, Nicolas",1980,UK,129,Drama,Col
988,Zabriskie Point,"Antonioni, Michelangelo",1970,USA,112,Drama,Col
989,National Lampoon's Animal House,"Landis, John",1978,USA,109,Comedy,Col
990,Second Breath,"Melville, Jean-Pierre",1966,France,144,Drama,BW
991,"Nutty Professor, The","Lewis, Jerry",1963,USA,107,Comedy,Col
992,Fantômas,"Feuillade, Louis",1913,France,334,Crime-Drama,BW
993,"Reckless Moment, The","Ophüls, Max",1949,USA,82,Drama-Crime,BW
994,Female Trouble,"Waters, John",1974,USA,95,Crime-Comedy,Col
995,Yol,"Gören, Serif & Yilmaz Güney",1982,Turkey-Switzerland-France,114,Drama,Col
996,Häxan,"Christensen, Benjamin",1922,Sweden,83,Documentary-Horror,BW
997,Humanity and Paper Balloons,"Yamanaka, Sadao",1937,Japan,86,Drama,BW
998,"Tale of the Wind, A","Ivens, Joris",1988,France-UK-West Germany-Netherlands,80,Documentary,Col
999,"Straight Story, The","Lynch, David",1999,USA-France-UK,111,Drama,Col
1000,Subarnarekha,"Ghatak, Ritwik",1965,India,143,Drama,BW